DATE,Revenue,Profit_Before_Tax,Net_Profit,Profit_Margin,Customer_Loans,Loans_from_Other_Organizations,Number_of_Customers,Customer_Classification
30/06/2009,12732,4068,6213,48.79830349,23360,14092,2705,Retail
1/7/2009,31243,4463,1411,4.516211631,6582,14863,1090,SME
2/7/2009,40403,8629,1807,4.472440165,23869,15019,7832,Corporate
3/7/2009,42103,1082,1392,3.306177707,34905,9246,3424,Retail
6/7/2009,30757,4843,926,3.010696752,27201,2930,9234,Corporate
7/7/2009,24935,8432,2010,8.060958492,17369,19581,2422,SME
8/7/2009,25430,9239,1218,4.789618561,12527,15292,5583,Corporate
9/7/2009,49512,2795,2339,4.724107287,23105,16141,9475,Corporate
10/7/2009,24650,5396,3909,15.85801217,32481,18145,6645,SME
13/07/2009,27089,3123,8944,33.01709181,17390,14724,8383,Retail
14/07/2009,42230,7449,4832,11.44210277,13411,14982,7181,Retail
15/07/2009,28983,5815,1399,4.826967533,16038,15627,1274,Retail
16/07/2009,34152,4174,3689,10.80171,10497,9945,5985,Corporate
17/07/2009,45665,5670,2445,5.354210008,31835,1614,4579,Corporate
20/07/2009,26921,8651,3787,14.06708518,9472,10967,4553,SME
21/07/2009,37469,7482,2545,6.792281619,39174,9920,9328,SME
22/07/2009,48984,4390,7697,15.71329414,8637,13575,5548,SME
23/07/2009,16921,2397,4620,27.30335087,21383,3816,7090,Retail
24/07/2009,48804,3467,5146,10.54421769,12197,5886,5530,SME
27/07/2009,12163,1924,6452,53.04612349,22209,6086,3019,Corporate
28/07/2009,15072,6051,5088,33.75796178,15863,4154,4007,Retail
29/07/2009,47619,7369,8834,18.55141855,7112,12634,4933,SME
30/07/2009,17877,6209,7749,43.34619903,37435,17254,3205,SME
31/07/2009,28430,1458,1198,4.2138586,26749,17158,1632,Corporate
3/8/2009,11871,2537,4957,41.75722349,7390,18017,4936,Corporate
4/8/2009,17599,8573,740,4.204784363,6960,6926,9133,Corporate
5/8/2009,12496,6017,863,6.906209987,22779,19794,1921,Corporate
6/8/2009,34675,4722,5285,15.24152848,12392,5539,7186,Corporate
7/8/2009,41921,3680,4981,11.88187305,8805,2294,8650,Corporate
10/8/2009,43523,2449,5116,11.75470441,14653,18618,7249,Retail
11/8/2009,10797,3258,4115,38.11243864,17344,10518,2358,SME
12/8/2009,13219,6332,1136,8.593690899,38902,16092,6248,Corporate
13/08/2009,25246,2671,7938,31.44260477,25351,8733,2993,SME
14/08/2009,34999,9504,4802,13.72039201,25630,1465,6968,SME
17/08/2009,26321,9533,6371,24.20500741,33956,5113,6699,Corporate
18/08/2009,29129,6550,1500,5.149507364,35040,18301,2126,SME
19/08/2009,28676,6331,7861,27.41316781,18309,5805,1749,Retail
20/08/2009,41230,4462,7052,17.10405045,15836,13305,8609,Corporate
21/08/2009,21723,2416,4927,22.68102932,15942,19307,2486,SME
24/08/2009,27591,8164,6502,23.56565547,38885,1910,8793,Corporate
25/08/2009,36752,7869,2833,7.708424031,37748,13659,7334,SME
26/08/2009,33605,5335,5592,16.6403809,8059,10026,4777,SME
27/08/2009,16021,1677,5150,32.14530928,24892,16480,6314,Corporate
28/08/2009,30006,6059,4110,13.69726055,26230,18515,7593,SME
31/08/2009,13560,1686,7887,58.16371681,39738,11795,6761,Retail
1/9/2009,35332,1744,5035,14.25053776,37390,3557,2956,Corporate
3/9/2009,41055,1425,7880,19.19376446,5586,17454,9420,Corporate
4/9/2009,31368,1860,8766,27.94567712,18774,2501,1418,Retail
7/9/2009,30737,4135,1210,3.936623613,20506,16903,7597,Retail
8/9/2009,38647,6177,6188,16.0115921,16711,15658,5709,Corporate
9/9/2009,36681,8780,2960,8.069572803,30688,3773,8907,Corporate
10/9/2009,24627,7695,2803,11.38181671,17104,15330,2230,Retail
11/9/2009,22134,5801,2745,12.40173489,12802,15434,8160,SME
14/09/2009,30571,1701,5068,16.57780249,10304,9609,7260,Retail
15/09/2009,19781,6829,4256,21.51559577,37978,1057,3579,Corporate
16/09/2009,29340,9543,8290,28.25494206,32384,4777,7474,SME
17/09/2009,37257,1936,7083,19.01119253,38279,12067,4037,Corporate
18/09/2009,26298,3741,6912,26.28336756,23674,19276,7966,SME
21/09/2009,22372,3567,6029,26.94886465,37667,4523,8855,Corporate
